country,consumption,density,lat,lon
malawi,0.215782667,1,-15.965693,35.392825
malawi,0.226472971,1,-16.392512,34.890469
malawi,0.245304937,1,-16.226333,34.824941
malawi,0.249299741,1,-17.09515,35.217213
malawi,0.256492408,1,-14.846169,35.50009
malawi,0.257143731,1,-12.768201,34.200761
malawi,0.26664138,1,-13.779716,34.32197
malawi,0.274037618,1,-14.717821,35.800871
malawi,0.279309988,1,-16.177162,34.678861
malawi,0.288198499,1,-16.472382,35.132391
malawi,0.2956503,1,-16.33911,35.274649
malawi,0.298065956,1,-16.489865,34.827208
malawi,0.299897253,1,-16.177162,34.678861
malawi,0.306909636,1,-14.924294,35.85383
malawi,0.308871584,1,-13.092839,33.373104
malawi,0.309280092,1,-15.035595,35.513982
malawi,0.316237623,1,-9.996945,33.836118
malawi,0.319668673,1,-14.835844,35.565399
malawi,0.320932323,1,-16.579039,35.102457
malawi,0.321037273,1,-15.12574,35.513325
malawi,0.324055368,1,-15.65929,35.6434
malawi,0.32451655,1,-17.09515,35.217213
malawi,0.325358941,1,-15.572013,35.303079
malawi,0.325965164,1,-15.790143,35.411892
malawi,0.326187576,1,-15.916279,35.384048
malawi,0.327069956,1,-16.750418,35.257341
malawi,0.327970972,1,-13.272203,34.311688
malawi,0.329041797,1,-15.69251,35.796372
malawi,0.331700096,1,-16.483227,35.240196
malawi,0.332237805,1,-15.684889,35.583213
malawi,0.340164205,1,-14.776339,35.539435
malawi,0.342782614,1,-13.31979,33.764741
malawi,0.342934073,1,-13.31979,33.764741
malawi,0.345593444,1,-16.177162,34.678861
malawi,0.345805154,1,-12.768201,34.200761
malawi,0.347494815,1,-15.582173,35.835835
malawi,0.348035445,1,-13.728265,33.301121
malawi,0.348258251,1,-14.846169,35.50009
malawi,0.352130122,1,-15.779582,35.559395
malawi,0.352132316,1,-16.579039,35.102457
malawi,0.352344536,1,-16.181382,35.219897
malawi,0.35797528,1,-16.497695,34.947832
malawi,0.358484828,1,-15.627924,35.672782
malawi,0.358902347,1,-16.497695,34.947832
malawi,0.361758731,1,-14.166801,34.19226
malawi,0.363534765,1,-16.497695,34.947832
malawi,0.367476863,1,-14.157104,33.551782
malawi,0.37026786,1,-16.084998,35.581694
malawi,0.374393546,1,-16.737738,35.242437
malawi,0.379391756,1,-16.483227,35.240196
malawi,0.383781441,1,-13.242061,33.638782
malawi,0.384597712,1,-14.344464,34.009088
malawi,0.384863409,1,-15.753062,35.287326
malawi,0.389755012,1,-12.768201,34.200761
malawi,0.391046275,1,-16.738025,34.927118
malawi,0.392480286,1,-13.345048,34.124701
malawi,0.395301081,1,-16.181382,35.219897
malawi,0.397351209,1,-14.123186,33.59488
malawi,0.397610378,1,-15.93632,35.227798
malawi,0.400452855,1,-13.529607,33.912972
malawi,0.401364476,1,-16.33911,35.274649
malawi,0.403783018,1,-14.835844,35.565399
malawi,0.405474166,1,-15.471926,35.227714
malawi,0.405771861,1,-16.954723,35.215598
malawi,0.407978482,1,-15.627924,35.672782
malawi,0.408569732,1,-15.403323,34.682855
malawi,0.410914261,1,-13.776575,34.403131
malawi,0.421363914,1,-12.864215,33.448411
malawi,0.422361497,1,-14.790572,34.845684
malawi,0.423469305,1,-15.80194,35.297593
malawi,0.425255565,1,-15.752852,35.781488
malawi,0.429086422,1,-15.545205,35.823627
malawi,0.430167218,1,-16.541381,34.933292
malawi,0.431980988,1,-15.361921,35.265958
malawi,0.4321842,1,-14.297704,34.70574
malawi,0.432566241,1,-13.779716,34.32197
malawi,0.433677826,1,-15.761763,34.372752
malawi,0.434409752,1,-16.349154,35.128115
malawi,0.435516972,1,-14.641939,34.583085
malawi,0.437780318,1,-15.699825,35.486854
malawi,0.440657535,1,-15.725627,35.341325
malawi,0.441174204,1,-14.481431,35.608492
malawi,0.441301843,1,-15.938183,35.467495
malawi,0.44197542,1,-14.544524,34.533248
malawi,0.443198906,1,-15.432665,35.552417
malawi,0.445086553,1,-16.826165,35.269503
malawi,0.445329452,1,-13.660567,34.240615
malawi,0.447468851,1,-12.547721,34.12495
malawi,0.448336585,1,-15.545205,35.823627
malawi,0.448653114,1,-17.09515,35.217213
malawi,0.448804518,1,-14.790041,35.6293
malawi,0.449851874,1,-12.768201,34.200761
malawi,0.452791144,1,-13.714481,33.687636
malawi,0.452990908,1,-14.079133,34.532966
malawi,0.457075283,1,-16.489865,34.827208
malawi,0.457894936,1,-16.956385,35.168967
malawi,0.458691761,1,-17.092351,35.114643
malawi,0.459074544,1,-16.738025,34.927118
malawi,0.460836078,1,-15.834733,34.977652
malawi,0.460955005,1,-14.965719,35.616284
malawi,0.463616537,1,-16.33911,35.274649
malawi,0.464593241,1,-13.714481,33.687636
malawi,0.464804838,1,-14.230789,34.513181
malawi,0.467125422,1,-16.094797,35.681098
malawi,0.468923223,1,-12.690471,33.427711
malawi,0.471042605,1,-16.465764,34.828724
malawi,0.472777241,1,-16.096666,34.975852
malawi,0.473814996,1,-14.944016,35.144464
malawi,0.475023408,1,-15.173661,35.031449
malawi,0.475381168,1,-10.002351,33.932955
malawi,0.476405038,1,-15.726059,35.710228
malawi,0.476445025,1,-11.671303,34.026398
malawi,0.476575186,1,-11.744547,34.192356
malawi,0.478470183,1,-15.473915,35.311902
malawi,0.479011881,1,-16.648067,35.113616
malawi,0.479121063,1,-15.583395,35.424766
malawi,0.480458375,1,-13.31979,33.764741
malawi,0.481963598,1,-11.520091,33.99345
malawi,0.482217647,1,-15.634718,35.531409
malawi,0.482943925,1,-10.882429,34.050458
malawi,0.483901151,1,-16.5564,35.033896
malawi,0.484419892,1,-15.388404,35.198928
malawi,0.484904046,1,-15.725627,35.341325
malawi,0.485267595,1,-15.726054,34.517129
malawi,0.485839606,1,-14.986768,35.462909
malawi,0.486270949,1,-13.579327,33.185907
malawi,0.486695079,1,-16.308801,35.149457
malawi,0.487469886,1,-15.725627,35.341325
malawi,0.487515693,1,-14.147413,34.072092
malawi,0.489001432,1,-15.699825,35.486854
malawi,0.489028461,1,-15.916279,35.384048
malawi,0.489756008,1,-13.660567,34.240615
malawi,0.490540946,1,-16.368803,34.656367
malawi,0.49132466,1,-13.599289,34.482196
malawi,0.49155227,1,-15.726059,35.710228
malawi,0.492098092,1,-16.237141,35.113096
malawi,0.492300322,1,-13.851904,34.529105
malawi,0.492647131,1,-13.946321,33.186604
malawi,0.492666141,1,-14.677658,34.700061
malawi,0.49340946,1,-14.111488,34.512174
malawi,0.493858578,1,-15.684889,35.583213
malawi,0.494097044,1,-13.345048,34.124701
malawi,0.49447267,1,-14.157104,33.551782
malawi,0.495968545,1,-11.02323,33.537786
malawi,0.496547696,1,-15.909287,34.939594
malawi,0.496817456,1,-16.33911,35.274649
malawi,0.497602083,1,-15.50833,35.782588
malawi,0.498642542,1,-14.924294,35.85383
malawi,0.500050372,1,-13.885676,34.475131
malawi,0.500876378,1,-13.102273,34.285371
malawi,0.501406246,1,-13.728265,33.301121
malawi,0.502067296,1,-14.123186,33.59488
malawi,0.502995216,1,-16.483227,35.240196
malawi,0.503486514,1,-11.02323,33.537786
malawi,0.50421476,1,-15.965693,35.392825
malawi,0.505141247,1,-10.32619,33.717783
malawi,0.505145543,1,-15.543872,34.726405
malawi,0.505447284,1,-16.308801,35.149457
malawi,0.505999795,1,-13.577768,33.56351
malawi,0.507898691,1,-16.472382,35.132391
malawi,0.508627509,1,-14.717821,35.800871
malawi,0.508820409,1,-16.321642,34.76847
malawi,0.510472844,1,-16.483227,35.240196
malawi,0.510607729,1,-15.849466,35.286663
malawi,0.511058083,1,-15.678937,35.680682
malawi,0.511064353,1,-15.849466,35.286663
malawi,0.512139528,1,-15.877739,35.351154
malawi,0.51307366,1,-16.33911,35.274649
malawi,0.515860343,1,-15.915619,34.404055
malawi,0.516114553,1,-15.173661,35.031449
malawi,0.516135301,1,-13.881585,34.356424
malawi,0.516379161,1,-15.678937,35.680682
malawi,0.518847727,1,-16.826165,35.269503
malawi,0.519559442,1,-17.092351,35.114643
malawi,0.520957414,1,-15.761763,34.372752
malawi,0.521525502,1,-16.5564,35.033896
malawi,0.52252301,1,-16.497695,34.947832
malawi,0.523119109,1,-16.108243,35.110525
malawi,0.524859726,1,-14.869095,35.227445
malawi,0.52526877,1,-15.69251,35.796372
malawi,0.52619164,1,-15.836097,35.616962
malawi,0.526377813,1,-15.849466,35.286663
malawi,0.52677478,1,-15.582173,35.835835
malawi,0.527017275,1,-15.73134,35.566626
malawi,0.52840318,1,-14.752119,35.681512
malawi,0.528979458,1,-13.47578,33.865843
malawi,0.528982994,1,-14.944016,35.144464
malawi,0.530329858,1,-17.09515,35.217213
malawi,0.532592622,1,-16.094797,35.681098
malawi,0.532724868,0,-14.046295,33.798679
malawi,0.532941208,1,-16.196075,35.208329
malawi,0.533109945,1,-11.671303,34.026398
malawi,0.535152305,1,-14.717821,35.800871
malawi,0.535486533,1,-14.717821,35.800871
malawi,0.536438536,1,-13.147556,33.848971
malawi,0.536551326,1,-14.790572,34.845684
malawi,0.537025813,1,-13.334414,33.993416
malawi,0.537759402,1,-16.497695,34.947832
malawi,0.538061878,1,-9.507538,33.259649
malawi,0.538166219,1,-15.419415,35.140775
malawi,0.538396569,1,-15.627924,35.672782
malawi,0.538837695,0,-12.961161,34.269784
malawi,0.539336012,1,-15.38839,35.467089
malawi,0.5396266,1,-16.081528,34.529636
malawi,0.53963913,1,-16.307387,35.278111
malawi,0.539693932,1,-16.181382,35.219897
malawi,0.539967215,1,-14.914055,34.931088
malawi,0.540213149,1,-16.4966,34.943521
malawi,0.542864347,1,-16.181382,35.219897
malawi,0.54359853,1,-15.835268,35.167445
malawi,0.545132731,1,-16.497695,34.947832
malawi,0.545618699,1,-16.043878,35.6054
malawi,0.546116796,1,-16.119842,35.561699
malawi,0.546985451,1,-14.671041,34.774422
malawi,0.547405261,1,-15.50056,34.501325
malawi,0.547462292,1,-11.77845,34.182041
malawi,0.549409052,1,-16.826165,35.269503
malawi,0.550358973,1,-16.215058,34.976689
malawi,0.550411694,1,-14.846656,34.70755
malawi,0.551001181,1,-16.392512,34.890469
malawi,0.551071059,1,-16.096666,34.975852
malawi,0.551472909,1,-16.5564,35.033896
malawi,0.552219864,1,-14.810918,34.85051
malawi,0.552400731,1,-14.47413,35.197807
malawi,0.552872728,1,-13.871693,33.228082
malawi,0.557484406,1,-15.684889,35.583213
malawi,0.560081845,1,-16.465764,34.828724
malawi,0.560132259,1,-13.395012,33.10138
malawi,0.561135478,1,-13.73958,33.123693
malawi,0.561306888,1,-16.177162,34.678861
malawi,0.561383846,1,-13.881585,34.356424
malawi,0.56159925,1,-16.497695,34.947832
malawi,0.561887684,1,-12.933083,33.60355
malawi,0.562450072,1,-15.684889,35.583213
malawi,0.564564971,1,-15.726059,35.710228
malawi,0.56490799,1,-13.98172,33.97522
malawi,0.564997744,1,-16.738025,34.927118
malawi,0.565178627,1,-16.465764,34.828724
malawi,0.566688916,1,-14.810918,34.85051
malawi,0.566723524,1,-16.020639,35.448207
malawi,0.567388436,1,-15.432665,35.552417
malawi,0.56741053,1,-16.119289,35.381973
malawi,0.567717671,1,-15.73134,35.566626
malawi,0.569103666,1,-13.226167,33.74038
malawi,0.570073451,1,-14.755818,35.232287
malawi,0.571897842,1,-10.076443,33.560035
malawi,0.572091702,1,-15.420275,35.394941
malawi,0.572190551,1,-15.849466,35.286663
malawi,0.573337824,1,-12.768201,34.200761
malawi,0.574243489,1,-14.272959,35.256432
malawi,0.574249306,1,-16.4184,35.126675
malawi,0.574488126,1,-16.392512,34.890469
malawi,0.574918597,1,-14.687752,35.569097
malawi,0.575048453,1,-15.929301,35.290814
malawi,0.575562758,1,-11.843331,33.53769
malawi,0.576372524,1,-15.793053,35.483234
malawi,0.576393675,1,-13.639242,33.637618
malawi,0.576834756,1,-13.242061,33.638782
malawi,0.577266424,1,-15.173661,35.031449
malawi,0.577499102,1,-14.481431,35.608492
malawi,0.577650021,1,-15.65929,35.6434
malawi,0.57796021,1,-15.766915,35.6721
malawi,0.578132587,1,-15.836097,35.616962
malawi,0.578186485,1,-13.579327,33.185907
malawi,0.578835258,1,-15.50833,35.782588
malawi,0.579230439,1,-15.902223,34.829097
malawi,0.57946432,1,-13.76407,33.614923
malawi,0.579470333,1,-16.648067,35.113616
malawi,0.581901767,1,-15.598949,34.517429
malawi,0.582861728,1,-14.718437,34.69204
malawi,0.583698036,1,-14.157104,33.551782
malawi,0.583746894,1,-13.885676,34.475131
malawi,0.583770389,1,-15.38839,35.467089
malawi,0.583930591,1,-15.752852,35.781488
malawi,0.584552868,1,-16.17673,34.930358
malawi,0.585096544,1,-15.50056,34.501325
malawi,0.58533939,1,-14.683761,34.915074
malawi,0.585562486,1,-16.139062,35.151528
malawi,0.585916312,1,-13.881585,34.356424
malawi,0.586778758,1,-16.483227,35.240196
